,gender,program,submitted_on,age_on_program_start,years_work_experience,nationality,other_nationality,applicant_state
839,Male,Online MBA,2023-07-10,28,5,Russian Federation,,enrolled
840,Female,Online MBA,2022-10-14,28,5,India,,enrolled
841,Male,Online MBA,2021-08-27,31,6,Venezuela,,enrolled
842,Male,Online MBA,2023-11-03,48,15,Egypt,,withdrawn
843,Male,Online MBA,2021-09-20,41,18,Russian Federation,,enrolled
844,Female,Part-time MBA,2021-06-01,30,9,Portugal,,enrolled
845,Male,Online MBA,2021-06-15,31,3,Pakistan,,withdrawn
846,Female,Online MBA,2020-12-17,42,17,France,,withdrawn
847,Male,Executive MBA,2023-10-09,36,5,Poland,,enrolled
848,Male,Part-time MBA,2021-05-18,35,10,Switzerland,,declined_offer
849,Male,Part-time MBA,2022-01-20,34,4,India,,enrolled
850,Male,Executive MBA,2021-04-13,38,14,China,,enrolled
851,Female,Part-time MBA,2020-10-01,25,5,China,Peru,enrolled
852,Female,Executive MBA,2024-03-18,27,2,China,,rejected
853,Female,Online MBA,2023-09-27,37,15,Taiwan,,enrolled
854,Female,Online MBA,2022-11-04,39,16,China,,rejected
855,Male,Online MBA,2022-03-07,33,14,Iran,,enrolled
856,Male,Online MBA,2023-12-22,33,9,Norway,,declined_offer
857,Male,Online MBA,2023-08-19,35,14,Germany,,enrolled
858,Male,Executive MBA,2020-12-05,33,9,Russian Federation,,withdrawn
859,Male,Online MBA,2021-10-24,39,12,Russian Federation,,enrolled
860,Male,Online MBA,2022-09-10,30,11,India,,enrolled
861,Female,Part-time MBA,2022-05-04,29,4,China,,withdrawn
862,Male,Online MBA,2024-02-10,33,13,India,,enrolled
863,Male,Online MBA,2023-08-29,35,5,Russian Federation,,enrolled
864,Male,Part-time MBA,2021-08-18,32,2,Turkey,,enrolled
865,Male,Online MBA,2023-09-29,31,7,India,,on_hold
866,Male,Online MBA,2022-01-12,28,8,Turkey,,enrolled
867,Female,Part-time MBA,2022-10-17,26,4,India,Lebanon,enrolled
868,Male,Online MBA,2023-04-12,33,6,United States,,enrolled
869,Female,Online MBA,2023-10-09,31,8,China,,withdrawn
870,Female,Part-time MBA,2022-01-18,31,7,China,,withdrawn
871,Male,Part-time MBA,2022-05-07,30,9,Poland,Croatia,enrolled
872,Male,Online MBA,2023-04-26,39,17,Germany,,enrolled
873,Female,Online MBA,2021-06-03,37,14,China,,enrolled
874,Male,Online MBA,2022-04-03,36,11,Spain,Colombia,enrolled
875,Male,Executive MBA,2021-04-17,33,2,Russian Federation,,enrolled
876,Male,Executive MBA,2022-09-06,40,14,Spain,,enrolled
877,Male,Executive MBA,2022-02-28,48,18,Russian Federation,,enrolled
878,Male,Online MBA,2022-06-16,27,7,Russian Federation,,enrolled
879,Male,Executive MBA,2022-09-03,39,15,India,Egypt,enrolled
880,Male,Part-time MBA,2023-10-17,26,1,Germany,,rejected
881,Male,Online MBA,2021-03-03,33,13,China,,enrolled
882,Male,Online MBA,2024-02-16,50,20,Russian Federation,,enrolled
883,Male,Online MBA,2023-01-15,30,5,Morocco,,withdrawn
884,Male,Online MBA,2023-03-15,42,14,Italy,,enrolled
885,Female,Executive MBA,2022-09-15,31,9,China,,enrolled
886,Male,Executive MBA,2022-11-12,46,13,Russian Federation,,enrolled
887,Male,Online MBA,2023-07-22,41,14,Tunisia,,withdrawn
888,Female,Online MBA,2022-04-26,30,4,Greece,,enrolled
889,Female,Online MBA,2020-12-25,41,18,Italy,,rejected
890,Male,Executive MBA,2021-07-31,46,20,Russian Federation,,enrolled
891,Male,Part-time MBA,2022-01-29,29,4,Germany,,rejected
892,Male,Online MBA,2021-04-24,40,12,Egypt,,enrolled
893,Female,Online MBA,2020-12-16,40,13,Taiwan,,rejected
894,Female,Executive MBA,2022-06-08,36,13,China,,enrolled
895,Female,Online MBA,2023-10-23,40,10,Italy,,enrolled
896,Female,Part-time MBA,2021-12-28,34,12,China,,withdrawn
897,Male,Part-time MBA,2023-08-13,23,3,France,,enrolled
898,Female,Online MBA,2022-01-31,33,10,Germany,,enrolled
899,Male,Online MBA,2023-07-06,31,8,Greece,,enrolled
900,Male,Online MBA,2021-03-27,34,6,China,,enrolled
901,Male,Online MBA,2020-10-21,31,7,Kenya,,enrolled
902,Male,Online MBA,2021-07-16,41,19,Russian Federation,,withdrawn
903,Male,Part-time MBA,2023-06-05,40,13,India,,enrolled
904,Male,Executive MBA,2022-02-27,44,12,Pakistan,,enrolled
905,Female,Online MBA,2021-05-29,43,13,Estonia,,rejected
906,Female,Executive MBA,2021-11-18,41,20,India,Bulgaria,enrolled
907,Male,Online MBA,2021-07-22,32,4,Poland,,enrolled
908,Male,Executive MBA,2023-10-29,38,19,Germany,,rejected
909,Female,Online MBA,2021-12-02,41,12,Taiwan,,enrolled
910,Male,Online MBA,2021-04-02,26,4,Algeria,,declined_offer
911,Male,Executive MBA,2021-02-08,24,3,Russian Federation,,enrolled
912,Male,Online MBA,2021-07-04,31,3,India,,enrolled
913,Male,Executive MBA,2021-12-30,39,18,India,,enrolled
914,Male,Online MBA,2023-06-08,29,7,United States,,enrolled
915,Male,Online MBA,2023-08-11,33,6,China,,enrolled
916,Male,Online MBA,2023-03-31,44,15,India,,enrolled
917,Female,Online MBA,2022-08-30,36,13,Czech Republic,,rejected
918,Male,Online MBA,2022-03-01,34,12,Sweden,,enrolled
919,Female,Executive MBA,2022-08-20,24,3,Romania,,enrolled
920,Male,Executive MBA,2020-12-09,43,11,United States,,enrolled
921,Female,Part-time MBA,2022-11-08,27,4,Germany,,on_hold
922,Male,Executive MBA,2022-03-10,34,9,Germany,,enrolled
923,Male,Executive MBA,2023-06-22,37,15,Russian Federation,,enrolled
924,Male,Part-time MBA,2023-08-22,32,10,Pakistan,,enrolled
925,Male,Executive MBA,2022-11-09,37,13,China,,rejected
926,Male,Part-time MBA,2023-06-21,31,8,Venezuela,,enrolled
927,Female,Online MBA,2022-02-07,42,12,Germany,Morocco,enrolled
928,Female,Executive MBA,2022-06-05,36,16,Portugal,,enrolled
929,Male,Online MBA,2022-01-08,35,12,India,,enrolled
930,Male,Online MBA,2023-06-04,38,9,Germany,,enrolled
931,Female,Online MBA,2023-05-11,28,3,China,,enrolled
932,Male,Executive MBA,2023-01-30,39,12,Germany,China,enrolled
933,Male,Online MBA,2023-05-16,34,12,Germany,,declined_offer
934,Female,Executive MBA,2023-09-07,42,11,Italy,,rejected
935,Female,Online MBA,2022-06-28,38,8,China,,declined_offer
936,Male,Online MBA,2024-03-23,39,16,India,,declined_offer
937,Male,Online MBA,2022-07-20,44,15,Germany,,enrolled
938,Male,Executive MBA,2024-03-28,42,17,France,,enrolled
939,Male,Online MBA,2022-05-19,28,5,United States,,enrolled
940,Male,Executive MBA,2022-01-14,34,14,Greece,,enrolled
941,Female,Part-time MBA,2021-03-20,30,3,Pakistan,,withdrawn
942,Female,Executive MBA,2021-01-24,32,4,Germany,,enrolled
943,Male,Online MBA,2024-03-07,49,20,United States,,enrolled
944,Female,Part-time MBA,2023-12-22,33,6,Algeria,,enrolled
945,Male,Online MBA,2023-08-26,42,19,Mexico,,enrolled
946,Female,Part-time MBA,2022-06-15,24,4,United Kingdom,Morocco,enrolled
947,Male,Online MBA,2022-05-23,33,13,France,Georgia,withdrawn
948,Male,Executive MBA,2021-02-20,29,6,Egypt,,enrolled
949,Male,Part-time MBA,2023-01-07,37,13,Germany,,rejected
950,Male,Online MBA,2022-01-04,37,6,Pakistan,,enrolled
951,Male,Online MBA,2023-02-23,36,14,India,,withdrawn
952,Female,Online MBA,2020-11-12,27,3,Germany,,enrolled
953,Male,Part-time MBA,2023-08-01,32,7,Turkey,,enrolled
954,Male,Executive MBA,2022-02-03,41,15,Serbia,,declined_offer
955,Female,Part-time MBA,2023-03-29,50,20,Germany,,enrolled
956,Male,Part-time MBA,2021-09-26,31,6,Norway,,declined_offer
957,Male,Part-time MBA,2023-08-24,28,5,Germany,,enrolled
958,Male,Part-time MBA,2022-06-25,38,14,Germany,,enrolled
959,Male,Executive MBA,2023-10-29,38,18,Russian Federation,,enrolled
960,Male,Online MBA,2023-06-18,37,17,Russian Federation,,enrolled
961,Male,Online MBA,2021-10-30,35,10,India,,deferred
962,Male,Online MBA,2020-10-30,39,17,Germany,,withdrawn
963,Male,Executive MBA,2022-03-13,27,2,Germany,,enrolled
964,Female,Online MBA,2020-12-26,38,7,China,,enrolled
965,Male,Online MBA,2020-12-01,40,13,Greece,,enrolled
966,Male,Executive MBA,2024-01-21,46,14,Germany,,enrolled
967,Male,Part-time MBA,2021-05-06,28,4,China,,declined_offer
968,Female,Executive MBA,2020-11-05,37,13,China,,enrolled
969,Male,Executive MBA,2022-02-17,43,16,Russian Federation,,declined_offer
970,Female,Executive MBA,2022-03-11,45,19,China,,declined_offer
971,Female,Executive MBA,2021-11-27,36,7,Germany,,enrolled
972,Female,Online MBA,2023-12-15,46,15,China,,enrolled
973,Female,Online MBA,2023-08-25,38,16,Viet Nam,,withdrawn
974,Male,Online MBA,2023-12-01,28,4,Russian Federation,,enrolled
975,Male,Online MBA,2022-01-11,44,16,Germany,,enrolled
976,Male,Online MBA,2020-10-18,44,20,Russian Federation,,declined_offer
977,Female,Online MBA,2022-06-13,34,5,Italy,,withdrawn
978,Male,Executive MBA,2023-01-20,40,16,Germany,,enrolled
979,Male,Part-time MBA,2023-12-09,32,11,Germany,,rejected
980,Male,Executive MBA,2023-01-20,42,14,Japan,,enrolled
981,Male,Online MBA,2020-11-22,34,7,Ghana,,enrolled
982,Male,Executive MBA,2022-12-18,31,7,Germany,,enrolled
983,Male,Executive MBA,2020-12-16,39,14,Switzerland,,rejected
984,Male,Online MBA,2023-03-05,26,4,Portugal,,declined_offer
985,Male,Part-time MBA,2023-02-28,31,9,Germany,,enrolled
986,Male,Online MBA,2021-05-22,38,11,Russian Federation,,enrolled
